id,date,product_id,price,sales,product_name
1897,2024-05-06,19,24,200,Potato
1900,2024-05-06,19,24,200,Potato
1903,2024-05-06,19,24,200,Potato
1906,2024-05-06,19,24,200,Potato
1909,2024-05-06,19,24,200,Potato
1912,2024-05-06,19,24,200,Potato
1915,2024-05-06,19,24,200,Potato
1918,2024-05-06,19,24,200,Potato
1921,2024-05-06,19,24,200,Potato
1924,2024-05-06,19,24,200,Potato
1927,2024-05-06,19,24,200,Potato
1930,2024-05-06,19,24,200,Potato
1933,2024-05-06,19,24,200,Potato
1936,2024-05-06,19,24,200,Potato
1939,2024-05-06,19,24,200,Potato
1942,2024-05-06,19,24,200,Potato
1945,2024-05-06,19,24,200,Potato
1948,2024-05-06,19,24,200,Potato
1951,2024-05-06,19,24,200,Potato
1954,2024-05-06,19,24,200,Potato
1957,2024-05-06,19,24,200,Potato
1960,2024-05-06,19,24,200,Potato
1963,2024-05-06,19,24,200,Potato
1966,2024-05-06,19,24,200,Potato
1969,2024-05-06,19,24,200,Potato
1972,2024-05-06,19,24,200,Potato
1975,2024-05-06,19,24,200,Potato
1978,2024-05-06,19,24,200,Potato
1981,2024-05-06,19,24,200,Potato
1984,2024-05-06,19,24,200,Potato
1987,2024-05-06,19,24,200,Potato
1990,2024-05-06,19,24,200,Potato
1993,2024-05-06,19,24,200,Potato
1996,2024-05-06,19,24,200,Potato
1999,2024-05-06,19,24,200,Potato
2002,2024-05-06,19,24,200,Potato
2005,2024-05-06,19,24,200,Potato
2008,2024-05-06,19,24,200,Potato
2011,2024-05-06,19,24,200,Potato
2014,2024-05-06,19,24,200,Potato
2017,2024-05-06,19,24,200,Potato
2020,2024-05-06,19,24,200,Potato
2023,2024-05-06,19,24,200,Potato
2026,2024-05-06,19,24,200,Potato
2029,2024-05-06,19,24,200,Potato
2032,2024-05-06,19,24,200,Potato
2035,2024-05-06,19,24,200,Potato
2038,2024-05-06,19,24,200,Potato
2041,2024-05-06,19,24,200,Potato
2044,2024-05-06,19,24,200,Potato
2047,2024-05-06,19,24,200,Potato
2050,2024-05-06,19,24,200,Potato
2053,2024-05-06,19,24,200,Potato
2056,2024-05-06,19,24,200,Potato
2059,2024-05-06,19,24,200,Potato
2062,2024-05-06,19,24,200,Potato
2065,2024-05-06,19,24,200,Potato
2068,2024-05-06,19,24,200,Potato
2071,2024-05-06,19,24,200,Potato
2074,2024-05-06,19,24,200,Potato
2077,2024-05-06,19,24,200,Potato
2080,2024-05-06,19,24,200,Potato
2084,2024-05-06,19,24,200,Potato
2088,2024-05-06,19,24,200,Potato
2092,2024-05-06,19,24,200,Potato
2096,2024-05-06,19,24,200,Potato
2100,2024-05-06,19,24,200,Potato
